variant,stockout_rows,mean_estimated_demand,median_estimated_demand,mean_observed_sales,mean_estimated_gap,total_estimated_gap,p95_estimated_demand,p99_estimated_demand,max_estimated_demand
primary,703520,1.1369530614999028,0.6775369423275259,1.091614349272231,0.22743810883517518,160007.25832772243,3.227158106263513,6.8572033484255535,26.091325014842432
shrink_75,703520,1.1241837186343249,0.6667878413790238,1.091614349272231,0.21735335628054483,152912.4332104889,3.157205012383031,6.504553547548847,26.46270528787783
shrink_50,703520,1.1114143757687471,0.6543964382278301,1.091614349272231,0.21519483530255232,151393.8705320516,3.099625032059092,6.241076864395183,30.149654565583454
cap_p99,703520,1.0421748921260143,0.6775369423275259,1.091614349272231,0.20466314653112117,143984.61684757436,3.227158106263513,5.5,5.5
cap_p999,703520,1.1232271933654994,0.6775369423275259,1.091614349272231,0.22184217782149912,156070.40894098105,3.227158106263513,6.8572033484255535,16.8
