store_id,product_id,recent_days,recent_mean_adjusted_demand,recent_total_adjusted_demand,recent_mean_observed_sales,recent_stockout_days,recent_full_stockout_days,recent_mean_stockout_hours,recent_max_stockout_hours,recent_estimated_censored_demand,recent_stockout_day_rate,recent_full_stockout_rate,censored_demand_rate,forecast_mae,mean_forecast_bias,mean_underforecast,p90_underforecast,p95_underforecast,max_underforecast,daily_censored_demand,demand_exposed_to_stockout,demand_percentile,stockout_burden_percentile,uncertainty_percentile,operational_risk_score,operational_rank,action_segment,high_demand,high_stockout_burden,high_uncertainty
538,267,42,21.13571859490278,887.7001809859167,20.40952380952381,18,3,2.119047619047619,16,77.13263945792747,0.42857142857142855,0.07142857142857142,0.08689041763206666,3.7026201428571426,-0.8909306857142856,1.4058447285714286,4.254577600000001,5.650288599999999,8.838709999999999,1.8364914156649397,9.058165112101191,0.99908,0.99894,0.9981,0.9988210000000001,1,CRITICAL,True,True,True
52,267,42,22.502122617382668,945.089149930072,21.507142857142856,8,3,1.4523809523809523,16,59.205061924137155,0.19047619047619047,0.07142857142857142,0.06264494934527372,4.173102485714286,-0.038191571428571484,2.067455457142857,5.281991599999999,5.904010399999996,7.34862,1.409644331527075,4.286118593787174,0.99948,0.99802,0.99904,0.998735,2,CRITICAL,True,True,True
496,267,42,27.03362851389725,1135.4123975836844,27.640476190476193,11,3,1.4761904761904763,16,49.51533425329391,0.2619047619047619,0.07142857142857142,0.04360999964301027,7.230049728571428,4.017474957142857,5.623762342857143,8.819631000000003,9.698593999999998,11.461828999999998,1.1789365298403311,7.080236039354042,1.0,0.9968,1.0,0.9985599999999999,3,CRITICAL,True,True,True
681,267,42,21.592052244105865,906.8661942524463,23.192857142857143,28,3,3.0,16,48.78924106169288,0.6666666666666666,0.07142857142857142,0.05379982335973074,5.828276685714285,2.3247117714285714,4.076494228571429,7.9117556,8.894905599999996,11.588722999999998,1.1616485967069732,14.394701496070576,0.9992,0.9966,0.9998,0.99815,4,CRITICAL,True,True,True
514,267,42,19.8868654231583,835.2483477726487,21.057142857142857,33,2,3.9047619047619047,16,56.76223824052022,0.7857142857142857,0.047619047619047616,0.06795851604123218,3.7435738571428567,-0.7727340857142857,1.4854198857142855,4.3652315999999995,4.538129999999998,7.489172,1.351481862869529,15.625394261052952,0.9983,0.99786,0.99824,0.99809,5,CRITICAL,True,True,True
694,589,42,18.952676267420056,796.0124032316423,16.935714285714283,23,0,2.261904761904762,10,91.14188581694826,0.5476190476190477,0.0,0.1144980724507953,2.1132334999999998,-0.09762498571428573,1.0078042571428572,3.0327344000000007,3.507529799999999,5.210014000000001,2.17004490040353,10.378846527396698,0.99756,0.9991,0.99602,0.997945,6,CRITICAL,True,True,True
730,589,42,18.075106479977116,759.1544721590388,15.742857142857144,34,0,2.9761904761904763,9,103.70027996937355,0.8095238095238095,0.0,0.13659970898208565,1.557807342857143,0.2507671142857142,0.9042872285714285,2.889774200000002,3.8929341999999973,4.799208,2.4690542849850847,14.63222905521957,0.99714,0.99918,0.99452,0.9975339999999999,7,CRITICAL,True,True,True
154,300,42,7.884120856258772,331.1330759628684,6.37547619047619,24,8,5.309523809523809,16,80.1385302890912,0.5714285714285714,0.19047619047619047,0.24201306395039052,2.71472508,0.0048476228571428795,1.3597863514285713,4.765943400000001,5.410895089999998,6.487055,1.9080602449783617,4.505211917862155,0.99544,0.99898,0.9979,0.997525,8,CRITICAL,True,True,True
555,300,42,10.925343605254755,458.8644314206997,9.874285714285715,16,5,3.9047619047619047,16,59.05984868623017,0.38095238095238093,0.11904761904761904,0.12870870924419603,2.59265906,0.361870997142857,1.4772650285714284,4.1028292,4.448880249999999,5.394090500000001,1.4061868734816707,4.162035659144668,0.99634,0.998,0.99818,0.9974550000000001,9,CRITICAL,True,True,True
591,589,42,14.632783891161198,614.5769234287703,8.714285714285714,29,0,3.3333333333333335,11,248.57692342877039,0.6904761904761905,0.0,0.4044683650696503,1.6617022571428572,0.017641834285714225,0.8396720457142857,3.3085635,3.6668807999999973,4.491461999999999,5.918498176875485,10.10358887723035,0.9965,0.9998,0.99304,0.9972930000000001,10,CRITICAL,True,True,True
847,300,42,9.193800541654326,386.1396227494817,8.164285714285715,22,2,4.071428571428571,16,62.92165934547166,0.5238095238095238,0.047619047619047616,0.16295053819507602,2.0863766742857144,0.045985228571428595,1.0661809514285714,2.5814929400000004,4.937092,5.095682500000001,1.4981347463207537,4.815800283723695,0.996,0.9984,0.99664,0.9972079999999999,11,CRITICAL,True,True,True
145,300,42,9.37315388205847,393.67246304645573,8.560952380952381,20,2,3.5238095238095237,16,53.16070322069839,0.47619047619047616,0.047619047619047616,0.13503790132871218,2.3338765,0.24623784857142864,1.2900571742857145,3.406078440000001,3.8798921499999994,4.223923999999999,1.2657310290642474,4.463406610504033,0.99606,0.99746,0.99766,0.99701,12,CRITICAL,True,True,True
406,300,42,8.483226422754402,356.29550975568486,6.921666666666666,16,4,3.5952380952380953,16,65.82329854061405,0.38095238095238093,0.09523809523809523,0.184743553422129,1.7087916971428572,0.1478668114285715,0.9283292542857144,1.8181588000000006,2.0773081299999983,3.8891585000000006,1.567221393824144,3.231705303906439,0.99582,0.99856,0.9948,0.9968490000000001,13,CRITICAL,True,True,True
