variant,rows,observed_sales_mean,estimated_demand_mean,estimated_gap_mean,estimated_demand_p95,estimated_demand_max
primary,50992,0.05143100878569188,1.027738150645313,0.9781154151466518,2.577132077283282,23.62751286878835
shrink_75,50992,0.05143100878569188,1.0353080577728806,0.9860541442844094,2.61269366874102,23.131963870316664
shrink_50,50992,0.05143100878569188,1.042877964900448,0.9942913816627316,2.6611204474295307,24.62161402915563
cap_p99,50992,0.05143100878569188,1.0048691520122621,0.9558520128880704,2.577132077283282,5.5
cap_p999,50992,0.05143100878569188,1.0259413079289412,0.9763185724302801,2.577132077283282,16.8
